product_id,category,ring_name,center_carat_weight,your_price_usd,compare_at_usd_optional,photo_folder_optional
D019,Engagement Rings,Lab Grown Diamond Elongated Cushion Pave Cathedral Engagement Ring,1,,,
D019,Engagement Rings,Lab Grown Diamond Elongated Cushion Pave Cathedral Engagement Ring,1.5,,,
D019,Engagement Rings,Lab Grown Diamond Elongated Cushion Pave Cathedral Engagement Ring,2,,,
D019,Engagement Rings,Lab Grown Diamond Elongated Cushion Pave Cathedral Engagement Ring,3,,,
D030,Engagement Rings,Lab Grown Diamond Emerald Comfort Fit Engagement Ring,1,,,
D030,Engagement Rings,Lab Grown Diamond Emerald Comfort Fit Engagement Ring,1.5,,,
D030,Engagement Rings,Lab Grown Diamond Emerald Comfort Fit Engagement Ring,2,,,
D030,Engagement Rings,Lab Grown Diamond Emerald Comfort Fit Engagement Ring,3,,,
D033,Engagement Rings,Lab Grown Diamond Emerald Halo Pave Engagement Ring,1,,,
D033,Engagement Rings,Lab Grown Diamond Emerald Halo Pave Engagement Ring,1.5,,,
D033,Engagement Rings,Lab Grown Diamond Emerald Halo Pave Engagement Ring,2,,,
D033,Engagement Rings,Lab Grown Diamond Emerald Halo Pave Engagement Ring,3,,,
D022,Engagement Rings,Lab Grown Diamond Emerald Pave Cathedral Engagement Ring,1,,,
D022,Engagement Rings,Lab Grown Diamond Emerald Pave Cathedral Engagement Ring,1.5,,,
D022,Engagement Rings,Lab Grown Diamond Emerald Pave Cathedral Engagement Ring,2,,,
D022,Engagement Rings,Lab Grown Diamond Emerald Pave Cathedral Engagement Ring,3,,,
D026,Engagement Rings,Lab Grown Diamond Marquise Petite Pave Engagement Ring,1,,,
D026,Engagement Rings,Lab Grown Diamond Marquise Petite Pave Engagement Ring,1.5,,,
D026,Engagement Rings,Lab Grown Diamond Marquise Petite Pave Engagement Ring,2,,,
D026,Engagement Rings,Lab Grown Diamond Marquise Petite Pave Engagement Ring,3,,,
D017,Engagement Rings,Lab Grown Diamond Oval Pave Cathedral Engagement Ring,1,,,
D017,Engagement Rings,Lab Grown Diamond Oval Pave Cathedral Engagement Ring,1.5,,,
D017,Engagement Rings,Lab Grown Diamond Oval Pave Cathedral Engagement Ring,2,,,
D017,Engagement Rings,Lab Grown Diamond Oval Pave Cathedral Engagement Ring,3,,,
D025,Engagement Rings,Lab Grown Diamond Pear Petite Pave Engagement Ring,1,,,
D025,Engagement Rings,Lab Grown Diamond Pear Petite Pave Engagement Ring,1.5,,,
D025,Engagement Rings,Lab Grown Diamond Pear Petite Pave Engagement Ring,2,,,
D025,Engagement Rings,Lab Grown Diamond Pear Petite Pave Engagement Ring,3,,,
D027,Engagement Rings,Lab Grown Diamond Princess Comfort Fit Engagement Ring,1,,,
