handle,platform,est_followers,engagement_notes,niche,region,contact_method,status,source,notes
@permeable_self,Instagram,12K,4.35% ER per Social Cat listing,jewellery styling / DIY / lifestyle,US/UK (verify),IG DM,to_review,https://thesocialcat.com/influencers/jewellery,Listed on Social Cat micro-gifting platform; open to gifted collabs
@adornedbyamelia,Instagram,10K,4.30% ER per Social Cat listing,jewellery / art / piercing,US/UK (verify),IG DM,to_review,https://thesocialcat.com/influencers/jewellery,Listed on Social Cat micro-gifting platform; ear-stack angle fits vermeil earrings
@analisavaldezzz,Instagram,9.9K,unknown; niche account so likely engaged,minimalist everyday jewelry styling,US (Dallas TX),IG DM,to_review,https://www.instagram.com/analisavaldezzz/,Bio: Jewelry Influencer; minimalist everyday luxury - strong brand fit
@lelaleagems,Instagram,11K (est_unverified),unknown,handmade gem jewelry content,US (verify),IG DM,to_review,https://blog.ainfluencer.com/jewelry-influencers/,Valeria aka Lela Lea gems; maker-creator - check fit before gifting
@jenniferengeldesigns,Instagram,7K (est_unverified),unknown,nano jewelry designer / dainty timeless pieces,US (Colorado),IG DM,to_review,https://blog.ainfluencer.com/jewelry-influencers/,Runs own jewelry shop - possible conflict; better as community/UGC ally
@linzistoppard,Instagram,19.9K (est_unverified),unknown,fashion & beauty / jewelry accessories / lifestyle,UK (London),IG DM,to_review,https://influence.co/go/top/jewelry-influencers-london,Found on influence.co London jewelry directory
@jewelxo,Instagram,48.3K (est_unverified),unknown,jewelry-adjacent lifestyle creator,US,IG DM,to_review,https://socialveins.com/influencer/instagram/jewelxo,Verify content fit before outreach - directory listing only
@accidental_antiquarian,Instagram,29K,unknown,antique & vintage jewelry collector / education,US (Minnesota),IG DM,to_review,https://www.instagram.com/accidental_antiquarian/,Lillian; GIA credential; jewelry-history storytelling angle
@beauty.with.danni,Instagram,unknown (est_unverified),afluencer curates for engagement,clean girl aesthetic beauty micro,US/UK (verify),IG DM,to_review,https://afluencer.com/beauty-micro-influencers/,Clean-girl beauty content; jewelry as finishing touch angle
@uk.ugc,Instagram,49K,unknown,beauty / skincare / clean girl UGC,UK (London),IG DM (portfolio in bio),to_review,https://www.instagram.com/uk.ugc/,Top of band; UGC creator - can also produce paid brand assets
@beauty_with_ju,Instagram,21K,unknown,UGC beauty / lifestyle,UK (London),IG DM (portfolio in bio),to_review,https://www.instagram.com/beauty_with_ju/,Julie; co-founder of @elevateugc_uk - route to more UK UGC creators
@ugcbymis,Instagram,6.7K,unknown,UGC skincare / makeup / fragrance,UK,IG DM (portfolio in bio),to_review,https://www.instagram.com/ugcbymis/,Misbah; nano UGC - cheap gifting + content rights
@ugcwithademide,Instagram,6.4K,unknown,UGC beauty / wellness,UK,IG DM (portfolio in bio),to_review,https://www.instagram.com/ugcwithademide/,Ademide; nano UGC creator
@lali.scamz,Instagram,unknown (est_unverified),unknown,jewelry-specialist UGC creator,US (verify),IG DM (portfolio in bio),to_review,https://www.instagram.com/lali.scamz/,Bio: Jewelry Content Creator | UGC - direct category match
@evmorfiajewellery,Instagram,unknown (est_unverified),unknown,jewellery-specialist UGC creator,UK,IG DM (portfolio in bio),to_review,https://www.instagram.com/evmorfiajewellery/,UK UGC creator dedicated to jewellery content
@scandinavianstylist,Instagram,48K,unknown,capsule wardrobe / minimalism coach,EU (Denmark) + UK,IG DM,to_review,https://www.instagram.com/scandinavianstylist/,Quiet-luxury adjacent; audience of women simplifying wardrobes
@styleinscandinavia,Instagram,44K,unknown,street style / stylist / videographer,EU (Stockholm),IG DM,to_review,https://www.instagram.com/styleinscandinavia/,Susan Stjernberger; scandi minimal aesthetic
@womanwhostyle,Instagram,18K,unknown,fashion stylist & PR / minimal chic,EU (Milan),IG DM,to_review,https://www.instagram.com/womanwhostyle/,Angelina Lepper; Milan stylist - editorial styling angle
@by.elinagaraeva,Instagram,11K,unknown,personal stylist / elevated basics,EU (Berlin),IG DM,to_review,https://www.instagram.com/by.elinagaraeva/,Elina Garashchenko; Berlin personal stylist
@myberlinfashion,Instagram,6.5K,unknown,luxury travel & lifestyle,EU (Berlin),IG DM,to_review,https://www.instagram.com/myberlinfashion/,Jasmin; quiet-luxury lifestyle framing
@allegrainmadrid,Instagram,6K,unknown,style inspo / author,EU (Madrid),IG DM,to_review,https://www.instagram.com/allegrainmadrid/,Allegra Caro; Madrid style scene
@lowit__,Instagram,4K,unknown,fashion stylist / sustainable fashion,EU (Madrid),IG DM,to_review,https://www.instagram.com/lowit__/,Content creator + stylist; sustainability angle pairs with lab-grown story
@fashionandrepeat,Instagram,3.3K,unknown,personal stylist / personal shopper,EU (Malmo/Copenhagen/Amsterdam),IG DM,to_review,https://www.instagram.com/fashionandrepeat/,Maria Sundqvist; bottom of band but multi-market EU
@stylishandneutral,Instagram,4.1K,unknown,neutral fashion / OOTD,US (verify),IG DM,to_review,https://www.instagram.com/stylishandneutral/,Verify it is a personal creator not a theme page
@_petitefits,Instagram,9.4K,unknown,petite / modest fashion,US (verify),IG DM,to_review,https://www.instagram.com/_petitefits/,Petite styling niche - layering necklace content fits
@byjennym,Instagram,unknown (est_unverified),unknown,neutral aesthetic fashion / moodboards,US/EU (verify),IG DM,to_review,https://www.instagram.com/byjennym/,Neutral-outfit reels; verify follower band
@whatdajanawears,Instagram,unknown (est_unverified),unknown,fashion GRWM / outfit ideas,UK/EU (verify),IG DM,to_review,https://www.instagram.com/whatdajanawears/,Dajana; GRWM reels format matches seeding brief
@kayceehrt,Instagram,47K,unknown,wedding content creator,US,IG DM,to_review,https://www.instagram.com/kayceehrt/,Booking 2026 weddings; bridal audience = engagement-ring adjacent
@followthebride_,Instagram,45K,unknown,luxury wedding content,US,IG DM,to_review,https://www.instagram.com/followthebride_/,Duo founded by @brookeywilson + @lexieheil_ (two more leads)
@contentforbrides,Instagram,20K,unknown,luxury wedding content creation,UK (London) + worldwide,IG DM,to_review,https://www.instagram.com/contentforbrides/,Award-winning; strong for bridal jewellery styling shots
@planwithlaur,Instagram,52K,unknown,NYC bridal storytelling,US (NYC),IG DM,to_review,https://www.instagram.com/planwithlaur/,Slightly above 50K band - keep if bridal vertical is priority
@shootingstarrsocial,Instagram,unknown (est_unverified),unknown,wedding content creator,US (verify),IG DM,to_review,https://www.instagram.com/shootingstarrsocial/,Maddie; verify follower band
@yourbridalcontent,Instagram,unknown (est_unverified),unknown,wedding content creators,UK/US (verify),IG DM,to_review,https://www.instagram.com/yourbridalcontent/,Bridal content collective; verify size and location
@amberrr327,TikTok,unknown (est_unverified),unknown,gold jewelry haul / unboxing,US (verify),TikTok DM,to_review,https://www.tiktok.com/@amberrr327/video/7518586000566750495,Posted gold jewelry haul unboxing; verify band
@marissagmartin,TikTok,unknown (est_unverified),unknown,14k gold jewelry haul / unboxing,US (verify),TikTok DM,to_review,https://www.tiktok.com/@marissagmartin/video/7481485698575437098,Fine-jewelry haul format; verify band
@taylordonoghuee,TikTok,unknown (est_unverified),unknown,clean girl everyday jewelry,US (verify),TikTok DM,to_review,https://www.tiktok.com/@taylordonoghuee/video/7266849541150739754,Posted clean girl everyday jewelry video - exact brief match
@ashleeswest,TikTok,unknown (est_unverified),unknown,everyday jewelry staples,US (verify),TikTok DM,to_review,https://www.tiktok.com/@ashleeswest/video/7453123994229722414,Everyday jewelry staples content
@rubylocknarofficial,TikTok,unknown (est_unverified),unknown,jewelry gifting / Mejuri hauls,US (verify),TikTok DM,to_review,https://www.tiktok.com/@rubylocknarofficial/video/7520713708767595831,Already buys/features Mejuri - warm competitor audience
@anastazia,TikTok,unknown (est_unverified),unknown,everyday gold jewelry tours,US (verify),TikTok DM,to_review,https://www.tiktok.com/@anastazia/video/7477985884436974870,Jewelry tour format; verify size (short handle may be large account)
@kyraroseriley,TikTok,unknown (est_unverified),unknown,everyday gold jewelry tours,US (verify),TikTok DM,to_review,https://www.tiktok.com/@kyraroseriley/video/7491388687847197998,Everyday jewelry tour gold pieces
@carats_and_caffeine,TikTok,unknown (est_unverified),unknown,ring tours / fine jewelry,US (verify),TikTok DM,to_review,https://www.tiktok.com/@carats_and_caffeine/video/7490967309670976814,Ring tour content; diamond-lover audience
@lo_wens,TikTok,unknown (est_unverified),unknown,lab-grown diamond ring designs / education,US (verify),TikTok DM,to_review,https://www.tiktok.com/@lo_wens/video/7591325143016803615,Two lab-grown explainer videos found; verify creator vs brand
@therowereview,TikTok,unknown (est_unverified),unknown,lab vs natural diamond reviews,US (verify),TikTok DM,to_review,https://www.tiktok.com/@therowereview/video/7455488677460954411,Family jeweler review format; strong lab-grown education fit
@godmotherofdiamonds,TikTok,unknown (est_unverified),unknown,diamond education,US (verify),TikTok DM,to_review,https://www.tiktok.com/@godmotherofdiamonds/video/7542103275751886093,Natural vs lab-created explainer content
@shaynicolexo,TikTok,unknown (est_unverified),unknown,quiet luxury / old money aesthetic explainers,US (verify),TikTok DM,to_review,https://www.tiktok.com/@shaynicolexo/video/7484841640230735135,Quiet-luxury explainer video - aesthetic match
